Sample_ID	n	total_length	Mean	SD	min_length	max_length	Froh_1Mb	Froh_2Mb	Froh_4Mb	Froh_8Mb	Froh_16Mb
201977910067_R09C01	75	412.348954	5.5	4.45	1.072674	16.723158	0.166	0.157	0.125	0.094	0.007
201977910067_R09C02	16	50.095522	3.13	1.55	1.15985	6.052872	0.02	0.017	0.012		
201977910067_R10C01	38	157.582821	4.15	2.84	1.460337	13.11227	0.063	0.056	0.036	0.017	
201977910067_R10C02	38	187.38305	4.93	4.83	1.020031	22.668278	0.075	0.069	0.056	0.038	0.016
201977910067_R11C01	14	37.557938	2.68	1.09	1.502521	5.329196	0.015	0.012	0.004		
201977910067_R11C02	77	477.141862	6.2	5.95	1.147749	38.294136	0.192	0.182	0.157	0.098	0.039
201977910077_R03C01	24	79.794373	3.32	2.5	1.202515	12.293967	0.032	0.027	0.016	0.005	
201977910077_R03C02	77	489.996961	6.36	5.93	1.034092	26.731085	0.197	0.189	0.157	0.114	0.06
201977910077_R05C01	20	81.505564	4.08	3.58	1.448814	14.901877	0.033	0.028	0.021	0.013	
201977910077_R05C02	42	397.771005	9.47	9.07	1.055621	42.982851	0.16	0.157	0.145	0.122	0.066
201977910077_R12C01	61	380.629878	6.24	7.02	1.15935	47.292012	0.153	0.146	0.126	0.085	0.043
201977910077_R12C02	18	42.718152	2.37	1.25	1.017626	5.178569	0.017	0.011	0.004		
201977910080_R01C01	13	37.077367	2.85	1.73	1.519459	6.069701	0.015	0.01	0.007		
201977910080_R01C02	43	212.575972	4.94	4.79	1.106046	28.572197	0.085	0.079	0.059	0.043	0.011
201977910080_R02C01	18	65.465371	3.64	2.11	1.261742	8.079133	0.026	0.023	0.016	0.003	
201977910080_R02C02	24	88.628691	3.69	2.45	1.283779	10.875242	0.036	0.031	0.023	0.004	
201977910080_R03C01	55	234.425003	4.26	4.06	1.17401	22.63129	0.094	0.082	0.063	0.039	0.016
201977910080_R03C02	29	133.582914	4.61	2.98	1.454871	13.022512	0.054	0.05	0.039	0.02	
201977910080_R04C01	56	224.351578	4.01	4.04	1.072343	23.730116	0.09	0.077	0.055	0.032	0.017
201977910080_R04C02	27	108.452327	4.02	3.25	1.228481	15.206444	0.044	0.038	0.027	0.014	
